FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,wall,ceiling,windowpane,person,column,signboard,building,sky,road,sidewalk,car,awning,van,bulletin board,fence,ashcan,streetlight,tree,grass,earth,mountain,plant,bicycle,railing,bridge,skyscraper,minibike,water,chair,lamp,pier,sculpture,desk,fountain,glass,booth,sofa,lake,ct_person,ct_car,ct_truck,ct_bus,ct_traffic light,ct_bench,ct_motorcycle,ct_bicycle,ct_chair,ct_boat,ct_dining table,ct_couch,ct_parking meter
3470,40.724449,-73.984398,5.475252128,1,5.455414096,4.343934382,5.65599739,5.663819876,0,0,0,0,0,0,0.284852,0.147293,0.34709,0.027953,0.061984,0.001324,0,0,0.001699,0.002305,0,0.098941,0.005457,0,0,0.01491,0,0.006191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
3471,40.724449,-73.984772,7.414224043,1,5.332100767,4.763467249,6.714475901,4.686853002,0.000297,0,0,0.001348,0,0.005137,0.347871,0.15657,0.332762,0.00398,0.121848,0,0,0,0,0,0,0.023895,0,0,0,0,0.003367,0,0,0,0.000785,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,1,0,0,0,0,0
3472,40.724449,-73.985519,6.132401064,1,7.086892155,6.138910612,5.829413611,7.22502588,0,0,0,0.000961,0,0,0.322102,0.09884,0.233398,0.028395,0.170727,0,0,0,0,0,0,0.130645,0.014805,0,0,0.000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
3473,40.724449,-73.985893,6.69530383,1,6.810432757,6.412377306,5.796924184,6.346402692,0,0,0,0,0,0,0.133379,0.073418,0.28552,0.007719,0.144355,0,0,0,0.022285,0,0,0.325195,8.00E-06,0.007094,0,0.001027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
3474,40.724449,-73.986649,6.580577234,1,6.280134492,6.024650137,6.011729089,5.105460663,0,0,0,0,0,0,0.388316,0.056785,0.247004,0.04325,0.122652,0,0,0,0.050977,0,0,0.066422,0.005332,0,0,0.019082,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
3475,40.724449,-73.987022,6.197623404,1,6.010667626,5.04552647,5.462587597,5.945910973,0,0,0,7.80E-05,0,5.50E-05,0.22066,0.184281,0.241273,0.02441,0.163371,0,0,0,0.009496,0,0,0.135055,0.02027,0,0,0.001051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
3476,40.724449,-73.98777,5.23611234,1,5.384432044,4.499856601,5.881319387,5.688405797,0.060176,0,0,0.003543,0,0.000945,0.305012,0.153215,0.308094,0.023801,0.014051,0,0.015266,0,0.042672,0.000227,0,0.072746,0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
3477,40.724449,-73.988144,6.605337447,1,7.039010566,5.916209755,6.132727161,5.848214286,0,0,0,0,0,0,0.503547,0.05052,0.182562,0.033117,0.148453,0,0,0,0,0,0,0.049566,0,0,0,0.014059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3478,40.724449,-73.988899,6.286403191,1,6.157866715,6.945637098,5.730902019,5.708462733,0.003789,0,0,0,0,0.004152,0.353508,0.003336,0.218898,0.014383,0.191359,0,0,0,0.001,0,0,0.208965,0,0,0,0,0.000609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
3479,40.724449,-73.989273,6.061564043,1,6.387674078,6.053021147,5.414661414,5.293090062,0.000551,0,0,0.008223,0,0.010398,0.261848,0.093262,0.194699,0.006445,0.175098,0,0,0,0.000168,0,0,0.216574,0.001855,0,0,0,0.003914,0.024684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
3480,40.724449,-73.990021,5.767802766,1,6.338486329,5.960087006,6.099567943,6.081780538,0,0,0,0.000293,0,0.007555,0.42125,0.096227,0.222711,0.029855,0.140012,0,0,0,0.002465,0,0,0.077781,0,0,0,0,0,0.001852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
3481,40.724449,-73.990402,6.115524681,1,6.088220962,5.392973528,6.304968082,4.147903727,0.000324,0,0,0.002469,0,0.00057,0.413715,0.108977,0.297039,0.003504,0.081359,0.006848,0,0,0.076383,0,0,0.005816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0
3482,40.724449,-73.99115,3.816423191,1,5.926418539,5.873632696,5.335325491,4.663561077,0,0,0,0,0,0.003496,0.576203,0,0.281074,0.017703,0.101125,0.008117,0,0,0,0,0,0,0,0,0,0,0.000633,0,0,0,0.004988,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
3483,40.724449,-73.991524,7.305717872,1,5.708750845,5.610250307,5.895772741,4.661620083,0,0,0,0,0,0,0.466605,0.101277,0.311438,0.00034,0.089438,0,0.03023,0,0,0,0,0.000672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
3484,40.724449,-73.992279,6.23355617,1,5.164139134,4.840831207,6.12478007,5.195393375,5.90E-05,0,0,0.001254,0,0.009207,0.389094,0.153465,0.380484,0.038926,0.020367,0,0,0,0.000703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001102,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
3485,40.724449,-73.992653,6.737166809,1,5.560859588,5.149942569,6.206192576,5.252976191,0,0,0,0.013777,0,0.007527,0.174629,0.186883,0.293512,0.151863,0.030879,0,0.000117,0,0,0,0,0.127941,0,0,0,0,0,0,0,0,0.001367,0,0,0,0,0,0,0,0,0,0,0,8,5,1,1,0,0,0,1,0,0,0,0,0
3486,40.724449,-73.993401,6.47389766,1,5.347360006,4.668673403,6.372596098,5.104166667,0,0,0,0.001336,0,0.001281,0.376547,0.102609,0.418078,0.015562,0.018074,0,0,0,0,0.000258,0.000449,0.06298,0,0,0,0.000914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
3487,40.724449,-73.993774,5.785304043,1,6.626225399,5.953453655,5.723518311,5.786749482,0,0,0,0.001477,0,0.007422,0.180129,0.068934,0.279109,0.05727,0.004578,0,0,0,0,0,0,0.213199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
3488,40.724449,-73.99453,5.830523617,1,6.83925709,6.838862898,5.016841262,5.82492236,0,0,0,0.002422,0,0.003988,0.356531,0.048605,0.229328,0.130738,0.001293,0,0.025016,0,0,0,0,0.192668,0,0,0,0,0.00475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
3489,40.724449,-73.994904,6.594965957,1,6.88115893,6.281054211,6.197814099,5.883799172,0,0,0,0,0,0,0.475816,0.019945,0.21709,0.127488,0.037789,0,0,0,0,0,0,0.119473,0,0,0,0,0.000398,0,0,0,0.000598,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
3490,40.724449,-73.995651,6.398529362,1,6.173846968,6.011096042,5.791074025,4.934653209,0.058523,0,0,0.02248,0,0.003898,0.455895,0.079262,0.239086,0.062086,0.001703,0,0,0,0.076199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
3491,40.724449,-73.996025,6.474871489,1,6.234702916,5.659437021,5.195660414,3.593426501,0,0,0,0,0,0.006246,0.718273,0,0.132117,0.115094,0,0,0,0,0.025879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3492,40.724449,-73.99678,5.558825532,1,5.811277449,6.229184776,5.552102832,4.72179089,0,0,0,0.000988,0,0,0.550477,0.03468,0.312688,0.007,0.016332,0,0.033938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
3493,40.724449,-73.997154,7.758530213,1,6.038709605,5.901291387,5.541735338,4.661620083,0,0,0,0.00282,0,0.000176,0.468816,0.057816,0.340223,0.000297,0.088824,0,0.033734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0
3494,40.724449,-73.997902,6.647508511,1,6.018773028,6.035172602,5.655194785,5.044642857,0,0,0,0.003602,0,0.011406,0.545328,0.040324,0.278922,0.02032,0.07657,0.001438,0.019289,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
3495,40.724449,-73.998283,6.689734681,1,6.667670862,5.820832679,5.44594308,5.42507764,0,0,0,0.010191,0,0,0.534168,0.066516,0.14982,0.137398,0.082164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
3496,40.724449,-73.999031,7.476681702,1,6.1344352,5.778045484,5.68213248,5.692934783,0,0,0,0.004324,0.019141,0.00491,0.559367,0.038309,0.251512,0.115203,0.002285,0,0.003555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3497,40.724449,-73.999405,4.837168085,1,6.15150645,5.743115094,5.703909157,5.692934783,0,0,0,4.30E-05,0,0.006461,0.551152,0.050711,0.212172,0.130211,0.002621,0,0,0,0.015254,0,0.029418,0,0,0,0,4.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
3498,40.724449,-74.000153,5.558580426,1,5.991680166,5.706152789,5.312013448,4.598214286,0,0,0,0.006484,0,0.007156,0.554168,0.045297,0.225598,0.053258,0.103707,0,0,0,0.001547,0,0,0.000645,0,0,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0
3499,40.724449,-74.000534,6.349564468,1,5.91597705,6.199289466,5.901751753,5.286620083,0,0,0,0.008207,0,0,0.527523,0.060215,0.291797,0.073863,0.009512,0,0,0,0,0,0,0.025023,0,0,0,0.000426,0.003355,0,0,0,7.80E-05,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
3500,40.724449,-74.001282,6.56838766,1,5.906174506,5.990268283,5.895994856,4.143374741,0.069387,0,0,0.000523,0,0,0.393566,0.080082,0.275191,0.056504,0.007938,0,0,0,0,0,0,0.022668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0
3501,40.724449,-74.001656,6.747171489,1,6.464226156,6.298371483,6.077492079,5.11257764,0,0,0,0.01607,0,7.00E-05,0.486406,0.04466,0.249473,0.060508,0.06675,0,0.012262,0,0.019406,0,0,0.029914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0
3502,40.724449,-74.002411,6.593882766,1,6.023320095,5.650537768,5.564053113,4.900362319,0,0,0,0.011562,0,0,0.488992,0.075617,0.330379,0.076383,0.004844,0,0,0,0,0,0,0.006836,0,0,0,0,0.005387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,1,0,0,0,0,0
3503,40.724449,-74.002785,6.725415532,1,6.704097048,6.882750592,6.076354841,5.19992236,0,0,0,0.029016,0,0,0.410047,0.000762,0.212531,0.068504,0.083992,0,0,0,0,0,0,0.19018,0,0,0,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
3504,40.724449,-74.003532,6.525507234,1,6.839146946,6.331970268,5.918143631,5.848214286,0,0,0,0,0,0.00193,0.463699,0.057973,0.219914,0.065027,0.090664,0,0,0,0,0,0.000164,0.079289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3505,40.724449,-74.003906,6.624701489,1,7.394079403,6.574152842,6.557725508,3.488612836,0,0,0,0.00068,0,0.000152,0.477734,0.026109,0.108688,0.050277,0.132934,0,0,0,0.001258,0,0,0.148953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
3506,40.724449,-74.004662,7.244961064,1,6.224706974,5.308831277,5.281581211,4.854425466,0,0,0,0.001738,0,0.013129,0.219121,0.116625,0.290641,0.031348,0.046949,0,0,0,0.109637,0,0,0.168012,0,0,0,0,0.000637,0,0,0,0.001426,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0
3507,40.724449,-74.005035,5.51805617,1,6.261696232,6.307905058,5.812725532,5.848214286,0,0,0,0,0,0,0.472434,0.049934,0.237137,0.035996,0.124953,0,0,0,0.018398,0,0,0.058477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3508,40.724449,-74.005783,7.644652553,1,5.357374352,4.625789977,6.16194238,4.920419255,0.026164,0,0,0.0845,0,0.000336,0.341078,0.135008,0.33368,0.000129,0.039453,0,0.01159,0,3.10E-05,0,0.000145,0.017754,0,0,0,0.000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0
3509,40.724449,-74.006165,7.308302553,1,4.972716016,4.094221604,5.496674731,7.272903727,0.00234,0,0,0,0,0.01693,0.192234,0.196457,0.378039,0.003773,0.064926,0,0,0,0.005793,0,0,0.126516,0.004219,0,0,0.008773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3510,40.724449,-74.006912,6.377509574,1,6.081776529,6.064909858,5.798008506,4.895833333,0.020363,0,0,0,0,0.002188,0.466852,0.050766,0.295297,0.004098,0.050078,0,0,0,0.022777,0.001715,0,4.00E-06,0,0.000879,0,0,0,0.002918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
3511,40.724449,-74.007286,6.519552553,1,5.854896616,5.130516528,6.170806946,5.313146998,2.70E-05,0,0,0,0,0.050504,0.31757,0.117555,0.289395,0.000738,0.012098,0,0,0,0.001195,0,0,0.036316,0,0,0,0.020594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
3512,40.724453,-74.008041,4.336921702,1,5.813646234,5.432593834,5.785161951,6.102484472,0,0,0,0.000828,0,0.000145,0.443891,0.058262,0.369145,0.056199,0.005246,0,0,0,0.000422,0.001227,7.00E-05,0.057219,0.005566,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
3513,40.724453,-74.008415,4.575801915,1,6.140618039,5.69073402,5.695901511,5.692934783,0,0,0,0,0,0,0.5615,0.050047,0.238312,0.131871,0.011914,0,0,0,0,0,0,0.006355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3514,40.724453,-74.009178,5.720804043,1,4.202664574,2.945209644,2.645409273,1.40010352,0.575266,0.32082,0,0,0,0,0,0,0.000375,0,0,0,0,0,0.002953,0,0,0,0,0,0,0,0,4.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3515,40.724457,-74.00956,5.535828298,1,4.230986787,2.967347585,2.573337821,1.40010352,0.596328,0.316344,0,0,0,0,0,0,0,0,0,0,0,0,0.005898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3516,40.724461,-74.01033,5.145760426,1,6.103595704,6.28927743,6.164040099,5.333203934,0,0,0,0,0,0,0.483395,0.067426,0.270699,0.089016,0.04391,0,0,0,0,0,0,0.038566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3517,40.724461,-74.010719,6.066787447,1,5.66433353,5.640304558,5.790103479,4.85313147,0.007141,0,0,0,0,0,0.477672,0.081898,0.342906,0.066551,0.004754,0,0,0,0,0,0,0.019078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3518,40.724461,-74.011917,4.969909787,1,6.23362429,5.597116798,6.878944562,5.686464803,0.000895,0,0,0,0,0.000445,0.050223,0.160656,0.144238,0.09182,0.000586,0,0,0,0,0,0.017609,0.274316,0.156031,0.000887,0,0.024949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3519,40.724464,-74.011513,4.978510638,1,5.347653621,5.397730585,6.296308012,4.77807971,0.002109,0,0,0,0,0,0.413523,0.10657,0.337902,0.059402,0.0025,0,0,0,0,0,0.001395,0.009723,0.037273,0.01907,0,0.005094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3520,40.724682,-73.973854,5.970773191,1,4.434097157,4.184387386,5.552119889,5.299560041,0.000754,0,0,0,0,0,0.241551,0.224668,0.328344,0.060391,0.040238,0,0,0,9.40E-05,0,0.000539,0.065195,0.016512,0.015848,0,0.003172,0,0,0,0,0.002695,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3521,40.724724,-73.974686,6.303549362,1,4.52751169,4.288578128,4.89275976,4.882246377,0.02343,0,0,0.006781,0,0,0.254094,0.208738,0.300602,0.024828,0.081914,0,0.067051,0,0,0,0,0.016926,0.00209,0,0,0.000945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
3522,40.724739,-73.97509,6.205412766,1,4.822208724,4.399509047,5.694126683,5.416019669,0,0,0,0,0,0,0.301016,0.183867,0.313547,0.018945,0.099492,0,0.003395,0,0.030016,0,0.000129,0.041035,0.00202,0,0,0,0,0.004234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
3523,40.724754,-73.975883,5.680897872,1,6.102848657,5.808850303,6.336662433,5.032349897,0,0,0,0,0,0,0.411941,0.137281,0.252,0.033238,0.110047,0,0.01709,0,0,0.001172,0,0.032957,0,0,0,0.001906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3524,40.724758,-73.97628,6.252176383,1,7.798834053,7.293272637,6.418257764,6.312111801,0.00018,0,0,0.005223,0,0,0.243488,0.009453,0.180859,0.093871,0.112129,0,0,0,1.60E-05,0,0,0.340855,0.007184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
3525,40.724766,-73.977051,5.484837447,1,6.819103776,6.834497677,5.00587837,5.19992236,0,0,0,0,0,0,0.369148,0.039137,0.236441,0.120887,0.058254,0,0.000914,0,0,0,0,0.175219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0
3526,40.72477,-73.977432,4.883734468,1,7.228792831,6.334512127,6.78361416,6.801242236,0.000961,0,0,0.000375,0,0.000566,0.116793,0.081844,0.288438,5.50E-05,0.077984,0,0,0,0.008102,0,0,0.384758,1.20E-05,0.034379,0,0.000812,0,0.004922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3527,40.724773,-73.978195,6.366381915,1,6.885772676,5.61817562,5.345587637,4.948887164,0,0,0,0.000383,0,0,0.253871,0.113117,0.232379,0.012168,0.193312,0,0,0,0.001355,0,0,0.193414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
3528,40.724773,-73.978577,6.09653383,1,4.034103602,4.603024746,6.117642725,4.907479296,0,0,0,0.003832,0,0.005699,0.289949,0.199375,0.364211,0.07632,0.036574,0,0,0,0,0,0.001137,0.014199,0,0,0,0,0.000152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,2,0,0,0,0,0,0,0,0
3529,40.724773,-73.979324,5.348461277,1,7.094233751,5.787762171,5.088431529,5.277562112,0,0,0,0,0,0,0.276594,0.112883,0.184141,0.019,0.1995,0,0.003496,0,0.01707,0,0,0.186516,0,0,0,0,0.000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
3530,40.724773,-73.979706,7.314134468,1,6.366384645,6.624597295,6.02105584,6.002846791,0,0,0,0,0,0,0.379496,0.075848,0.183277,0.001262,0.216621,0,0,0,0,0,0,0.143473,0,0,0,2.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
3531,40.724777,-73.980453,6.422154468,1,6.770895155,6.448361401,5.863456625,5.865036232,0,0,0,0.0005,0,0,0.381594,0.07868,0.198816,0.009305,0.174402,0,0,0,0,0,0,0.142863,0,0,0,0,0,0,0,0,0.012781,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
3532,40.724777,-73.980827,6.012549362,1,6.481849435,6.459532583,5.557221124,4.948887164,0.030859,0,0,0,0,0,0.284387,0.05359,0.206973,0.033035,0.155754,0,0.008086,0,0,0,0,0.223316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
3533,40.724777,-73.981583,7.603341277,1,5.752632004,4.845160556,6.522546905,4.686853002,0,0,0,0,0,0,0.370902,0.170191,0.252711,0.023066,0.149926,0.002129,0,0,0,0,0,0.021172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
3534,40.724777,-73.981956,6.339914468,1,6.340890695,5.741130005,5.516185642,5.996376811,0.000223,0,0,0,0,0.001457,0.134609,0.129379,0.27157,0.023266,0.090023,0,0,0,0.003371,0,0,0.299941,0.000117,0,0,0,0,0.038793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3535,40.724777,-73.982704,7.415528723,1,6.927318466,6.431903845,5.441830115,6.23447205,0,0,0,0,0,0,0.332477,0.076262,0.159309,0.03484,0.170352,0,0.030824,0,0,0,0,0.162121,0.000617,0,0,0,0,0.002574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
3536,40.724777,-73.983078,6.78693,1,6.528461879,6.934736088,5.730375878,5.714932712,0,0,0,0,0,0,0.366402,0.034797,0.243301,0.041348,0.05123,0,0,0,0.001527,0,0,0.234594,0.002395,0,0,0.006172,0,0,0,0,0.018234,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
3537,40.724777,-73.983833,7.323656383,1,6.298466793,5.505403625,6.600126492,4.686853002,0,0,0,0.005738,0,0.000195,0.394953,0.164238,0.221688,0.095852,0.087086,0,0,0,0,0,0,0.023156,0,0,0,0,0.007023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0
3538,40.724777,-73.984207,6.033261489,1,5.479666895,4.366647929,5.43061595,6.24676501,0,0,0,0,0,5.10E-05,0.290203,0.13607,0.348574,0.106145,0.024094,0,0,0,0,0,0.004242,0.079398,0,0,0.000375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,2,0,0,0,0,0,0,0,0
3539,40.724777,-73.984955,6.771805957,1,6.859651431,5.650222269,5.878829475,6.511387164,0.001555,0,0,0.000562,0,0.001488,0.312477,0.114645,0.265199,0.019246,0.14734,0.00382,0,0,0,0,1.20E-05,0.105676,0.001754,0,0,0.019914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
3540,40.724777,-73.985336,6.027237872,1,7.086892155,6.138910612,5.829413611,7.22502588,0,0,0,0.000961,0,0,0.322102,0.09884,0.233398,0.028395,0.170727,0,0,0,0,0,0,0.130645,0.014805,0,0,0.000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
3541,40.724777,-73.986084,5.986781915,1,6.195174307,5.41105313,5.796879617,7.069746377,0.003031,0,0,3.50E-05,0,0,0.318406,0.082711,0.337953,0.009953,0.099145,0,0,0,0.000125,0,0,0.125449,0.01059,0,9.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
3542,40.724777,-73.986458,5.78917766,1,5.772046382,5.51133443,6.087958459,6.499741201,0,0,0,0,0,0,0.336941,0.095871,0.321238,0.01157,0.059375,0,0,0,0.000156,0,0,0.110809,0.003496,0,0,0.012379,0,0,0,0,0.004312,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
3543,40.724777,-73.987206,5.553998723,1,5.773512375,4.534713271,6.500557325,4.437758799,8.00E-06,0,0,0,0,0,0.332895,0.147988,0.319234,0.02243,0.114625,0,0.000844,0,0.005582,0,0,0.046805,0.001359,0,0,0.007871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
3544,40.724777,-73.987587,5.948796383,1,6.79765265,6.237340827,6.496861082,5.350672878,0,0,0,0.000566,0,0.003727,0.472695,0.091266,0.204418,0.092273,0.08402,0.006559,0,0,0,0,0,0.04443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0
3545,40.724777,-73.988335,5.58825383,1,6.714547739,6.060076782,5.953409332,5.350672878,0,0,0,4.00E-06,0,0.001184,0.483641,0.080121,0.202109,0.065027,0.107574,0,0,0,0,0,0,0.035809,0,0,0,0,0,0,0,0,0.000738,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
3546,40.724777,-73.988708,6.36061234,1,6.43398996,6.8783741,5.722804209,5.708462733,0,0,0,0,0,0,0.360383,0.048324,0.164414,0.037332,0.172,0,0,0,0,0,0,0.208883,0,0,0,0,0,3.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
